Mon Apr 26 02:46:53 IDT 2010  INFO:  admin registered to the forum as Admin 
Mon Apr 26 02:47:01 IDT 2010  INFO:  user:  admin logged in 
Mon Apr 26 02:47:23 IDT 2010  INFO:  user:  admin logged out 
Mon Apr 26 02:48:12 IDT 2010  INFO:  user:  amit registered to the forum 
Mon Apr 26 02:48:19 IDT 2010  INFO:  user:  amit registered to the forum 
Mon Apr 26 02:48:32 IDT 2010  INFO:  user:  admin logged in 
Mon Apr 26 02:48:35 IDT 2010  INFO:  user:  amit has been upgraded 
Mon Apr 26 02:48:47 IDT 2010  INFO:  user:  admin logged out 
Mon Apr 26 02:48:53 IDT 2010  INFO:  user:  admin logged in 
Mon Apr 26 02:48:57 IDT 2010  INFO:  user:  admin logged out 
Mon Apr 26 02:50:48 IDT 2010  INFO:  user:  admin logged in 
Mon Apr 26 02:50:52 IDT 2010  INFO:  user:  admin logged out 
Mon Apr 26 02:51:11 IDT 2010  INFO:  user:  liron registered to the forum 
Mon Apr 26 02:51:18 IDT 2010  INFO:  user:  admin logged in 
Mon Apr 26 02:51:20 IDT 2010  INFO:  user:  liron has been upgraded 
Mon Apr 26 02:51:38 IDT 2010  INFO:  user:  admin logged out 
